ID,Seed,LnL,Probability,Message,Sensitivity distribution for CIP,Specificity distribution for CIP,Sensitivity distribution for TET,Specificity distribution for TET,Sensitivity for CIP,Specificity for CIP,Sensitivity for TET,Specificity for TET,prob CIP test positive-0,prob CIP test positive-1,prob CIP test positive-2,prob CIP test positive-3,prob CIP test positive-4,prob CIP test positive-5,prob CIP test positive-6,prob CIP test positive-7,prob TET test positive-0,prob TET test positive-1,prob TET test positive-2,prob TET test positive-3,prob TET test positive-4,prob TET test positive-5,prob TET test positive-6,prob TET test positive-7,Prob of receiving a rapid test,Prob Tx-CIP if susceptible to CIP and TET,Pop size,Annual survey size,Initial prevalence,Initial % I by symptom states-0,Initial % I by symptom states-1,Dirichlet dist. of % I by resistance profile,Constant dist. of % I-0,Constant dist. of % I-1,Constant dist. of % I-2,Constant dist. of % I-3,Constant dist. of % I-4,Constant dist. of % I-5,Constant dist. of % I-6,Constant dist. of % I-7,Constant dist. of % I by resistance profile,Initial % I by resistance profile-0,Initial % I by resistance profile-1,Initial % I by resistance profile-2,Initial % I by resistance profile-3,Initial % I by resistance profile-4,Initial % I by resistance profile-5,Initial % I by resistance profile-6,Initial % I by resistance profile-7,Transmission parameter,Fitness-f_min-0,Fitness-f_min-1,Fitness-f_min-2,Fitness-f_min-3,Fitness-f_min-4,Fitness-f_min-5,Fitness-f_min-6,Fitness-f_min-7,Fitness-b-0,Fitness-b-1,Fitness-b-2,Fitness-b-3,Fitness-b-4,Fitness-b-5,Fitness-b-6,Fitness-b-7,Fitness-t_mid-0,Fitness-t_mid-1,Fitness-t_mid-2,Fitness-t_mid-3,Fitness-t_mid-4,Fitness-t_mid-5,Fitness-t_mid-6,Fitness-t_mid-7,Relative infectivity by infectivity profile-0,Relative infectivity by infectivity profile-1,Relative infectivity by infectivity profile-2,Relative infectivity by infectivity profile-3,Relative infectivity by infectivity profile-4,Relative infectivity by infectivity profile-5,Relative infectivity by infectivity profile-6,Relative infectivity by infectivity profile-7,Exponent for the prob of resistance by antibiotics-0,Exponent for the prob of resistance by antibiotics-1,Exponent for the prob of resistance by antibiotics-2,Prob symptomatic,Time until natural recovery,Time until screened,Time until seeking treatment (symptomatic),Time until seeking retreatment (symptomatic),Survey size (over observation periods),Initial % Susceptible,Prob of resistance by antibiotics-0,Prob of resistance by antibiotics-1,Prob of resistance by antibiotics-2,Rate of natural recovery,Rate of screening,Rate of seeking treatment,Rate of seeking retreatment,"Infectivity of CIP-S, TET-S, CRO-S","Infectivity of CIP-NS, TET-S, CRO-S","Infectivity of CIP-S, TET-NS, CRO-S","Infectivity of CIP-S, TET-S, CRO-NS","Infectivity of CIP-NS, TET-NS, CRO-S","Infectivity of CIP-NS, TET-S, CRO-NS","Infectivity of CIP-S, TET-NS, CRO-NS","Infectivity of CIP-NS, TET-NS, CRO-NS",Size of S,Size of I,Size of I by Symp/Rest-0,Size of I by Symp/Rest-1,Size of I by Symp/Rest-2,Size of I by Symp/Rest-3,Size of I by Symp/Rest-4,Size of I by Symp/Rest-5,Size of I by Symp/Rest-6,Size of I by Symp/Rest-7,Size of I by Symp/Rest-8,Size of I by Symp/Rest-9,Size of I by Symp/Rest-10,Size of I by Symp/Rest-11,Size of I by Symp/Rest-12,Size of I by Symp/Rest-13,Size of I by Symp/Rest-14,Size of I by Symp/Rest-15
16,1136163917,-11.153069260749312,0.9538582275244901,Prevalence-LnL CALC|Rate of gonorrhea cases-LnL CALC|Proportion of cases symptomatic-LnL CALC|,0.9898137612725403,0.9631992272355213,0.8346976071535628,0.9586586602712401,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.04427092200842528,0.02395259357006986,0.9760474064299302,"[0.118496597454883, 0.00129419367528846, 0.5450759803377294, 0, 0.33513322853209926, 0, 0, 0]",0.8,0.2,0.0,0,0,0,0,0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.118496597454883,0.00129419367528846,0.5450759803377294,0,0.33513322853209926,0,0,0,2.2936966856293024,1,0.902311319865753,0.9766868898376494,0.9404047625379066,0.8458694854511043,0.9337724613933831,0.8440690464753877,0.8953717279278162,0.3481946189057957,0.10009986397405646,0.37379577738895875,0.45041271901294533,0.17388311406373785,0.35866976541669304,0.15467926311504354,0.4947931734892552,10.540015312559849,8.722026858451517,11.90163519104669,12.787518377041657,9.668792584524398,7.339327314316008,7.74480727643137,9.89546144555137,1.0,0.9659745693617362,0.9943975694792453,0.9838298229501677,0.9561942408251427,0.9959858860906605,0.9616176235672398,0.9921809238242666,-4.185004132456158,-3.969283848427749,-3.703342149656656,0.5482153866065721,2.2427285676213704,1.7918644862115543,0.005483283244616371,0.0146872783078324,1500,0.9557290779915747,6.531243379230266e-05,0.0001073287698141028,0.00019799665367260994,0.4458854336798306,0.5580779169937387,182.37248659037007,68.08613407064821,2.2936966856293024,2.215652668147207,2.280846409312379,2.2566072041240632,2.1932195609984566,2.284489525859712,2.2056591560189043,2.2757620965203396,26569268.368165772,1230731.6318342225,3493.186622324155,38.1518130504589,16068.411781958037,0.0,9879.464353821339,0.0,0.0,0.0,142344.32413012697,1554.6532808468373,654773.8389727343,0.0,402579.6008793606,0.0,0.0,0.0
8,874363302,-14.360259573248111,0.038602797172004814,Prevalence-LnL CALC|Rate of gonorrhea cases-LnL CALC|Proportion of cases symptomatic-LnL CALC|,0.9826709233573464,0.9869162185016358,0.8435262856810533,0.9666654109302942,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.04161547940240256,0.04310135536228381,0.9568986446377162,"[0.1113246331369582, 0.004272542103710066, 0.5495978792906826, 0, 0.3348049454686491, 0, 0, 0]",0.8,0.2,0.0,0,0,0,0,0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.1113246331369582,0.004272542103710066,0.5495978792906826,0,0.3348049454686491,0,0,0,2.27043723662524,1,0.9204550118192066,0.9451029119615038,0.9540486297210837,0.9658722591870408,0.8385982617449717,0.8405216234554799,0.9092967150243076,0.46916397695220335,0.11344404826162138,0.3852634377951072,0.13788899632503557,0.465384960309272,0.1404669150019034,0.3134796368709797,0.2704225740979036,7.46589965027423,11.421821239393394,11.357447784571738,7.060566292208806,9.17375053518931,12.459892963373598,9.94128203540614,10.670919659434716,1.0,0.9681490933935754,0.9891050013691447,0.9884560333795289,0.9978558889514832,0.9334397621853034,0.9727567680782437,0.9784422912465661,-3.32631905416389,-4.6589804640220285,-4.42216968031083,0.5704858012564327,2.3535137262241035,1.7124173823359086,0.03313745984131345,0.023737477684541954,1500,0.9583845205975975,0.00047171636780898467,2.1929035770652804e-05,3.782947548105381e-05,0.4248966083594361,0.5839697788140296,30.177328159392303,42.12747509610966,2.27043723662524,2.198121752245741,2.2457008260407654,2.2442273849517638,2.265569167061228,2.1193163942121216,2.2085831884240674,2.221491811935122,26643089.672613207,1156910.327386791,5551.136386487212,213.0477619048152,27405.37021948525,0.0,16694.848775116898,0.0,0.0,0.0,123241.4813822055,4729.900322072247,608430.0922417844,0.0,370644.45029773464,0.0,0.0,0.0
5,738367469,-16.481038680635592,0.0046299479774068635,Prevalence-LnL CALC|Rate of gonorrhea cases-LnL CALC|Proportion of cases symptomatic-LnL CALC|,0.9855416303404988,0.977446344671209,0.8568616177136871,0.9783199709800633,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.04582214779719508,0.011892441757128815,0.9881075582428712,"[0.11611769042996893, 0.005662281783190734, 0.5090539076167749, 0, 0.3691661201700653, 0, 0, 0]",0.8,0.2,0.0,0,0,0,0,0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.11611769042996893,0.005662281783190734,0.5090539076167749,0,0.3691661201700653,0,0,0,1.90476914146446,1,0.9330274011356015,0.9686670185588854,0.9631227909244404,0.8466344513619871,0.9457924641914628,0.9426659772540813,0.7091618440458008,0.24131950356929976,0.10509116066944567,0.14955627773488855,0.22143226929196566,0.32374259712705045,0.25119540623458114,0.18419057921937917,0.13522892136142067,9.161623728772536,10.341436919985508,7.608326053188075,7.832623496449804,9.626334690877293,10.978863661842244,12.421552476596146,8.557569852783676,1.0,0.9745189198677805,0.9921901304361864,0.9937163064922385,0.976972817980885,0.9854773435106862,0.9779671764824113,0.9140441753677065,-4.6465190297894745,-3.3936356615768664,-3.1492637799910934,0.6906806725163119,4.944685377590614,2.497957209264888,0.027209701297052465,0.02778954929000643,1500,0.9541778522028049,2.2567371082795567e-05,0.00040398416133019386,0.0007091469184025229,0.20223733637978558,0.40032711380764013,36.75159786147034,35.98475058246505,1.90476914146446,1.8562335663374252,1.8898931429204455,1.8928001559764553,1.8609076757395646,1.8771068335315264,1.8628016991288245,1.7410431391757368,26526144.291237973,1273855.7087620231,1759.0964818327345,85.77934961566966,7711.787365353597,0.0,5592.591626636404,0.0,0.0,0.0,146158.08636064452,7127.150624521056,640749.4389198907,0.0,464671.7780335283,0.0,0.0,0.0
7,569236946,-18.021540465850777,0.000992075413253939,Prevalence-LnL CALC|Rate of gonorrhea cases-LnL CALC|Proportion of cases symptomatic-LnL CALC|,0.9792334578799167,0.968655926979206,0.8586216372096436,0.9660866684947689,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.054689945277313884,0.02595102753134665,0.9740489724686534,"[0.11607972943895692, 0.005088359478324179, 0.5750813163965468, 0, 0.3037505946861721, 0, 0, 0]",0.8,0.2,0.0,0,0,0,0,0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.11607972943895692,0.005088359478324179,0.5750813163965468,0,0.3037505946861721,0,0,0,2.0695180583174966,1,0.979809177124902,0.9472989218781888,0.9891486359726819,0.9564855799396935,0.9803909756049389,0.9597607320823095,0.7905155166219902,0.455055681849201,0.26565897424478,0.40860716245195894,0.28347435689174155,0.4531768813532693,0.1441324111715413,0.13038121448769152,0.2396397498152307,11.53638929659705,9.608083499845144,11.173659447928562,9.677170735291757,10.877319574888181,9.95745083091169,8.987986488989424,8.113266698687204,1.0,0.9960926843973467,0.990815406220341,0.998025986183747,0.9941363874792452,0.993597502381589,0.9873636706686709,0.9661290089960675,-3.7213780235793497,-3.4408013054695585,-3.1159169809400757,0.5631798298794896,2.028032529687662,2.5699152866121366,0.034800758452741616,0.010269017361203161,1500,0.9453100547226861,0.00018994242415511215,0.0003624087665137556,0.0007657429711607536,0.4930887376614272,0.38911788462812646,28.735005915401814,97.38030084339401,2.0695180583174966,2.0614317981182597,2.050510375632182,2.065432801077393,2.0573832063188178,2.05626797387786,2.043366946575464,1.9994214307817486,26279619.52129067,1520380.4787093257,4579.976296437555,200.76344001760722,22690.083878989077,0.0,11984.612045663469,0.0,0.0,0.0,171905.3783164128,7535.478979482043,851652.323240782,0.0,449831.8625115413,0.0,0.0,0.0
19,1837776314,-18.231965920374286,0.0008038186397610903,Prevalence-LnL CALC|Rate of gonorrhea cases-LnL CALC|Proportion of cases symptomatic-LnL CALC|,0.9926663021933921,0.976740678337588,0.8344014546346797,0.9667856680810352,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.0365030500083719,0.0058245580580909345,0.9941754419419091,"[0.10835431773289556, 0.0016269201655890512, 0.5711762765274034, 0, 0.318842485574112, 0, 0, 0]",0.8,0.2,0.0,0,0,0,0,0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.10835431773289556,0.0016269201655890512,0.5711762765274034,0,0.318842485574112,0,0,0,1.9086141005686197,1,0.9488999390030549,0.9481870407925014,0.9957136380143337,0.9649486635221464,0.8960876379996636,0.8944094198881266,0.926799523842146,0.33543726326854995,0.11046891746732719,0.23550586845474664,0.21697187200139836,0.2108390080843249,0.33239155035075374,0.10189846186416657,0.14990174883993365,9.043117711054368,10.869846789444331,12.74155841545255,10.235237111606821,7.131236422970463,11.404220530578897,9.114678913660176,11.795690982495305,1.0,0.9801537852454867,0.9807703557641609,0.9988720329187384,0.9943765043039938,0.9757394752177057,0.9625301648980686,0.9719748511171031,-3.0562219508079522,-3.01257276968117,-3.2889694620008054,0.651012514485032,4.292445800468832,2.403881507309469,0.01710843684756013,0.013859384597691442,1500,0.963496949991628,0.0008785733978101822,0.0009714651608074408,0.0005140797985223328,0.23296741449613118,0.4159938819610308,58.450693591133785,72.15327585083179,1.9086141005686197,1.8707353352452425,1.8719121304311792,1.9064612466923465,1.8978810173887353,1.8623101208819381,1.8370986449470925,1.8551249062401878,26785215.209767256,1014784.7902327387,640.4469323666923,9.616192977427506,3376.0361543169824,0.0,1884.573647517115,0.0,0.0,0.0,109315.86665902124,1641.3576459852704,576244.9618074609,0.0,321671.9311930931,0.0,0.0,0.0
22,2086686164,-18.340886348425975,0.0007208659828544615,Prevalence-LnL CALC|Rate of gonorrhea cases-LnL CALC|Proportion of cases symptomatic-LnL CALC|,0.9826891672032125,0.9800223462091893,0.848924354581354,0.9569465249622838,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.042702206853919525,0.037262405852326125,0.9627375941476739,"[0.0882092478651685, 0.012236811357634847, 0.5216826673499239, 0, 0.3778712734272727, 0, 0, 0]",0.8,0.2,0.0,0,0,0,0,0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.0882092478651685,0.012236811357634847,0.5216826673499239,0,0.3778712734272727,0,0,0,2.74012385039417,1,0.9982306789410095,0.9164586216513682,0.9956919237430574,0.9567699081717506,0.9806498751133702,0.833923917901598,0.9644626798850823,0.36062491805993413,0.23803024114873073,0.21393980614878952,0.11238005770077937,0.23563044428549884,0.30023515223152636,0.2278272392907139,0.18365514125391438,10.827415451532449,12.992774646810105,8.424676530813406,11.58641605725607,8.441481157962958,8.385359929274266,7.267876881998339,11.609271221784608,1.0,0.9993208311477562,0.9835087316629166,0.9982518886831386,0.9923737377448978,0.997652823641413,0.9755634835391993,0.9875631808360107,-4.2537437084221565,-3.0471119082216784,-3.1266724687911935,0.5216361200367938,1.1061251004806192,2.3597643226064244,0.03289881553978254,0.0035391337471475564,1500,0.9572977931460804,5.5751465976338247e-05,0.0008971975764528478,0.0007470119188670047,0.9040568734634924,0.4237711327440838,30.396231098069798,282.5550181046343,2.74012385039417,2.7382628436236915,2.6949357327004777,2.735333808881694,2.7192269472996036,2.733692296472924,2.67316476881938,2.7060454255798834,26612878.64946103,1187121.3505389625,3901.9358640626115,541.2953205440292,23076.631517184796,0.0,16715.134857952893,0.0,0.0,0.0,100813.14559166231,13985.284704621965,596224.0011000251,0.0,431863.92158290866,0.0,0.0,0.0
3,258782015,-19.75024184952744,0.00017610805264574864,Prevalence-LnL CALC|Rate of gonorrhea cases-LnL CALC|Proportion of cases symptomatic-LnL CALC|,0.9885366777285582,0.9860278504385952,0.8545401265534445,0.9760257160470824,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.051693960658668076,0.005073917511050347,0.9949260824889496,"[0.08680009085815445, 0.0027476923168609415, 0.5548862475113301, 0, 0.3555659693136545, 0, 0, 0]",0.8,0.2,0.0,0,0,0,0,0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.08680009085815445,0.0027476923168609415,0.5548862475113301,0,0.3555659693136545,0,0,0,2.0235990857059147,1,0.9777355571990295,0.949200939387352,0.9047461157284921,0.9772046715145254,0.8472150438776054,0.950640021985538,0.9259958316836964,0.2334306570368937,0.1794685490996919,0.4049569670572134,0.2331645162107323,0.3917083854941298,0.3422843663299522,0.26356789760616905,0.26574656480430026,8.701106115021773,7.956054567667917,8.715045716869753,9.206959357573044,12.443315819807317,11.929088781750039,9.814015987082223,11.29396222376441,1.0,0.9950828805846986,0.9962773918518117,0.9803315471690529,0.993842202040117,0.9602339772506283,0.9899330577892131,0.9798012917692549,-3.0962767472630714,-3.2390794541727606,-3.523755026663781,0.6483808932951036,3.6608999090855603,2.2438102640531303,0.02256184457912349,0.021834525049387148,1500,0.948306039341332,0.0008011673695035146,0.0005766609536231638,0.00029939529652877987,0.2731568807762858,0.4456704811545159,44.322617173123405,45.79902689607934,2.0235990857059147,2.013648807352804,2.0160660192607995,1.9837980225399603,2.0111381713843337,1.9431285984281257,2.003227630652312,1.9827249981977384,26362907.893689025,1437092.1063109722,632.9190770272669,20.035311806118493,4046.0567282574593,0.0,2592.675686112624,0.0,0.0,0.0,124106.80632230167,3928.651627326047,793376.5894707913,0.0,508388.3720873496,0.0,0.0,0.0
30,927278787,-20.387807140526547,9.308680557991198e-05,Prevalence-LnL CALC|Rate of gonorrhea cases-LnL CALC|Proportion of cases symptomatic-LnL CALC|,0.9834755576837338,0.9857302007322957,0.8641523834617139,0.9719112734469926,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.03778732129520701,0.03293995419769209,0.9670600458023079,"[0.1080061325005628, 0.009328722497385302, 0.5432367800491213, 0, 0.3394283649529304, 0, 0, 0]",0.8,0.2,0.0,0,0,0,0,0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.1080061325005628,0.009328722497385302,0.5432367800491213,0,0.3394283649529304,0,0,0,2.1862194995410524,1,0.9100022753124353,0.9116212083529964,0.9211031313736833,0.8945448669865007,0.8534851710083694,0.9668216459712282,0.938525470971127,0.22303101392642538,0.261895740206996,0.27492151992657,0.48591388627427745,0.3875396711983634,0.40886693196027846,0.316311752842911,0.2225716860448329,11.077490831063766,11.129859499356225,9.380620287512702,7.360530438227672,11.604726323891683,10.417148592418396,9.66976774627459,10.598397036601668,1.0,0.9759466421688028,0.9843929047502227,0.9981016106317652,0.9775630509757256,0.9803647763495937,0.9947875329914891,0.9831678390714776,-3.597688529424409,-4.952538192091819,-4.774482116843948,0.5667599039075184,3.4810175940958703,1.5280443160521375,0.033865994912037074,0.018865423606323053,1500,0.962212678704793,0.00025252912304991757,1.1154800511179263e-05,1.6808071357003513e-05,0.2872723199377369,0.6544312815374391,29.528144753974658,53.00702602112967,2.1862194995410524,2.1336335796210504,2.1520989635747947,2.182069203686496,2.137167404073975,2.143292590718685,2.1748239025263314,2.1494207010997037,26749512.46799324,1050487.5320067548,3737.3374114568983,322.8018889612221,18797.628378614372,0.0,11745.243510516608,0.0,0.0,0.0,109721.75816065387,9476.904784092954,551865.8359904834,0.0,344820.0218819753,0.0,0.0,0.0
2,1387578086,-20.699400807390084,6.816551448704926e-05,Prevalence-LnL CALC|Rate of gonorrhea cases-LnL CALC|Proportion of cases symptomatic-LnL CALC|,0.9862042379944663,0.9912395994660536,0.8588145494812366,0.9643603843895494,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.052986827924601874,0.047173086932711356,0.9528269130672886,"[0.0915571591057349, 0.002618021073751041, 0.5691810828811891, 0, 0.3366437369393251, 0, 0, 0]",0.8,0.2,0.0,0,0,0,0,0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.0915571591057349,0.002618021073751041,0.5691810828811891,0,0.3366437369393251,0,0,0,1.7486749776892005,1,0.9095240080963048,0.9628920002537013,0.9406484252184244,0.9081739381837183,0.9373500953379926,0.8443935084368079,0.9331768932747893,0.47438308682351005,0.317027031513906,0.19801972349411112,0.10743007413689082,0.17223288389222025,0.23430218956123863,0.31345973863217624,0.49327465239946033,9.200535771675284,11.183780043310378,11.33090395050245,10.606919233792103,11.67109759097351,7.513463468845575,12.9292611215686,12.035544120155528,1.0,0.9791173175692768,0.9878735237834567,0.977170777063169,0.9668297715638104,0.9907217440569153,0.9463851645200955,0.9873323259090228,-4.714959180078208,-3.4579065828099136,-3.5111932533437353,0.4258105293341289,2.0034604600833776,2.1463039494816947,0.0342284792310215,0.027506236215880078,1500,0.9470131720753981,1.9277060923614978e-05,0.00034841225081011956,0.0003081816291485723,0.49913637924173615,0.4659172342488991,29.21543762580294,36.35539199734908,1.7486749776892005,1.7121579534555649,1.7274697121617881,1.708754086779476,1.6906710292186011,1.7324503236849322,1.6549200564525683,1.7265233329807868,26326966.183696065,1473033.8163039319,6362.082879174136,181.91987620971622,39551.000248558244,0.0,23392.549267386865,0.0,0.0,0.0,128504.70860829283,3674.513697221897,798871.9824359241,0.0,472495.05929116404,0.0,0.0,0.0
17,1127434247,-21.15923956171622,4.3038713730160514e-05,Prevalence-LnL CALC|Rate of gonorrhea cases-LnL CALC|Proportion of cases symptomatic-LnL CALC|,0.978477585658695,0.9916126415514942,0.8553918963058218,0.9694800978112735,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,27799999.999999996,1500,0.03486477046342543,0.04732168729603542,0.9526783127039646,"[0.10654138476511538, 0.0028929616528927077, 0.533879749884565, 0, 0.35668590369742686, 0, 0, 0]",0.8,0.2,0.0,0,0,0,0,0,"[0.8, 0.2, 0.0, 0, 0, 0, 0, 0]",0.10654138476511538,0.0028929616528927077,0.533879749884565,0,0.35668590369742686,0,0,0,1.8032054052668451,1,0.9713803753004298,0.9326630129242963,0.9353865431468547,0.9700152422281627,0.8329390127709037,0.8222488862945597,0.9842546370836849,0.28226198413312575,0.47437602996724515,0.4960772613515545,0.42761810268494116,0.27788834135181056,0.2280400178843036,0.34957300912817924,0.10029108751952154,10.475404936050278,11.091599576789438,11.030040465969138,8.164291109925284,11.272236521962993,10.90882999478136,11.92028115259216,8.998942390757815,1.0,0.9960942967861925,0.9916851295974092,0.9966772940125063,0.992114730202534,0.952685669468305,0.9545972208454476,0.9944204558759847,-4.35790352946061,-3.800520043093552,-3.011682146232949,0.5516985083208819,3.8915535319734005,1.9846907238921365,0.03600216822079806,0.007868596511245225,1500,0.9651352295365746,4.386281201317878e-05,0.00015829965082620368,0.0009734594238077718,0.2569667850599762,0.5038568417546289,27.776104868659296,127.08746706872984,1.8032054052668451,1.7961626201203396,1.7882119860128,1.797213883870084,1.7889866441460671,1.7178879487055105,1.7213348684812195,1.793144341143496,26830759.38111677,969240.6188832269,4886.637965606507,132.68887275339847,24486.98278707413,0.0,16359.791855973866,0.0,0.0,0.0,98377.59974080992,2671.2870701017728,492970.95640026405,0.0,329354.67419064324,0.0,0.0,0.0
